x,y
323.0222326531907,306.0946295439356
291.2573629506698,240.91700823181054
312.53915278787764,209.2243284736982
362.27494424182385,245.37685110699155
290.01761083301733,204.61867781818927
288.9330259960801,205.17317055599028
321.03507869499487,209.6399680005478
340.70383672372725,288.1207430547571
352.925524522184,281.2671455642268
330.5019409864734,202.17213676614818
349.09252750963583,236.67651265578075
379.91036500280325,235.50407327270756
354.59929960449176,196.68216683874323
323.92944797954794,212.18522017322778
369.8694111119228,289.807282529163
297.302187010764,240.79117312160727
354.23219769551304,281.17037052969636
264.17203257159497,233.17154151790442
345.7298856455767,247.47711414260408
323.04678908441906,226.85528772779588
264.2866953919269,172.72848394000317
283.1645340929758,260.13585311336135
314.9526277385643,218.93102129242493
273.7078588839078,231.4010827145055
338.8322294712136,165.58002546660967
291.16997933610696,204.72414774290925
313.51762443215273,173.12726203407837
300.66269912472114,190.11312139848906
280.3258117232989,181.5657863547596
315.0224351667909,192.48392827574
272.2450823165106,246.37046335003365
339.08364012224695,184.2857251169923
275.06636209662224,250.2967346997272
300.4283989816894,242.99031830496375
261.90203746103225,165.36937544873786
281.24019584033795,199.27724575248303
227.02322113221064,253.86314589250608
311.2301019460682,215.08360225237556
270.68190888757437,216.5903787917695
305.4786387851981,203.33829150954068
251.66999282509346,203.89290957145042
223.73384526708801,196.54167255072363
264.3436906669539,195.44363106410427
218.84398973566235,166.28329295493157
245.70150562549713,234.21101486595595
265.1372364126438,213.7509424898785
290.49162144910895,186.01170455664194
284.35372940311163,200.79093890032786
235.07834116191913,165.77791450271872
211.74927606698694,263.34673316167783
209.00729037082758,193.8329289451189
279.567240160291,261.50102790012835
248.18004534385912,181.4015951518483
226.17888251487858,208.69840273539424
219.57471790697406,230.9633459224622
200.95100280749512,207.53116973946663
280.3481488231739,233.98422320201354
254.51372548255875,252.71992945339807
245.08843321677492,267.641771188212
200.64436869392978,264.5591379480369
202.77577416148006,272.4459984701659
229.87354855221167,272.8503569160694
212.1916710716681,256.1299591730224
213.3036539339093,238.95846638065981
